id,isbn13,title,authors,published_year,page_count,language,description,avg_rating,rating_count,category
001,9781885167774,Water for Elephants,Sara Gruen,2007,434,en,"Over 10 million copies sold worldwide! * Now A Broadway Musical Starring Grant Gustin and Isabella McCalla #1 New York Times Bestseller * A Los Angeles Times, Wall Street Journal, & USA Today Bestseller ""This colorful headlong tale of a Depression-era circus simply can't be beat."" —Stephen King A Major Motion Picture starring Reese Witherspoon, Robert Pattinson, and Christoph Waltz Jacob Janowski’s luck had run out--orphaned and penniless, he had no direction until he landed on a rickety train that was home to the Benzini Brothers Most Spectacular Show on Earth. A veterinary student just shy of a degree, he was put in charge of caring for the circus menagerie. It was the Great Depression and for Jacob the circus was both his salvation and a living hell. There he met Marlena, the beautiful equestrian star married to August, the charismatic but brutal animal trainer. And he met Rosie, an untrainable elephant who was the great hope for this third-rate traveling show. The bond that grew among this group of misfits was one of love and trust, and ultimately, it was their only hope for survival.","2,8",730,Fiction
002,9781101939529,Wild Man Creek,Robyn Carr,2011,368,en,"Colin Riordan came to Virgin River to recuperate from a horrific helicopter crash, the scars of which he bears inside and out. His family is wonderfully supportive, but it's his art that truly soothes his troubled soul. Stung personally and professionally by an ill-advised affair, PR guru Jillian Matlock has rented an old Victorian with a promising garden in Virgin River. She's looking forward to cultivating something other than a corporate brand. Both are looking to simplify, not complicate, their lives, but when Jillian finds Colin at his easel in her yard, there's an instant connection. And in Virgin River, sometimes love is the simplest choice of all….","0,1",87,Fiction
003,9780544102767,Shadowfever,Karen Marie Moning,2011,653,en,"#1 NEW YORK TIMES BESTSELLER “Evil is a completely different creature, Mac. Evil is bad that believes it’s good.” MacKayla Lane was just a child when she and her sister, Alina, were given up for adoption and banished from Ireland forever. Twenty years later, Alina is dead and Mac has returned to the country that expelled them to hunt her sister’s murderer. But after discovering that she descends from a bloodline both gifted and cursed, Mac is plunged into a secret history: an ancient conflict between humans and immortals who have lived concealed among us for thousands of years. What follows is a shocking chain of events with devastating consequences, and now Mac struggles to cope with grief while continuing her mission to acquire and control the Sinsar Dubh—a book of dark, forbidden magic scribed by the mythical Unseelie King, containing the power to create and destroy worlds. In an epic battle between humans and Fae, the hunter becomes the hunted when the Sinsar Dubh turns on Mac and begins mowing a deadly path through those she loves. Who can she turn to? Who can she trust? Who is the woman haunting her dreams? More important, who is Mac herself and what is the destiny she glimpses in the black and crimson designs of an ancient tarot card? From the luxury of the Lord Master’s penthouse to the sordid depths of an Unseelie nightclub, from the erotic bed of her lover to the terrifying bed of the Unseelie King, Mac’s journey will force her to face the truth of her exile, and to make a choice that will either save the world . . . or destroy it. BONUS: This edition contains a deleted scene from Shadowfever and an excerpt from Karen Marie Moning's Iced. Karen Marie Moning’s explosive Fever series continues DARKFEVER • BLOODFEVER • FAEFEVER • DREAMFEVER • SHADOWFEVER • ICED • BURNED • FEVERBORN • FEVERSONG • HIGH VOLTAGE • KINGDOM OF SHADOW AND LIGHT","4,3",832,Fiction
004,9780767927567,What the Night Knows (with bonus novella Darkness Under the Sun),Dean Koontz,2010,379,en,"#1 NEW YORK TIMES BESTSELLER In the late summer of a long-ago year, Alton Turner Blackwood brutally murdered four families. His savage spree ended only when he himself was killed by the last survivor of the last family, a fourteen-year-old boy. Half a continent away and two decades later, someone is murdering families again, re-creating in detail Blackwood’s crimes. Homicide detective John Calvino is certain that his own family—his wife and three children—will be targets, just as his parents and sisters were victims on that distant night when he was fourteen and killed their slayer. As a detective, John is a man of reason who deals in cold facts. But an extraordinary experience convinces him that sometimes death is not a one-way journey, that sometimes the dead return. Includes the bonus novella Darkness Under the Sun and an excerpt from Dean Koontz's The City!","0,3",913,Fiction
005,9782765409496,True Grit,Charles Portis,2010,350,en,"Pursuing a murderer who has escaped into Indian Territory, U.S. Marshal Rooster J. Cogburn teams up with a bounty-hunting Texas Ranger and Mattie Ross, a cantankerous young lady who is bent on revenge.","3,1",512,Fiction
006,9781416560609,The Sentry,Robert Crais,2011,214,en,"Private investigators Joe Pike and Elvis Cole get double-crossed in this twisty, gripping New York Times bestseller that will have readers on the edge of their seats. When gangbangers shake down the modest owner of a Los Angeles eatery, Joe Pike intervenes. For all intents and purposes, Pike saved Wilson Smith's life. But for reasons of their own, Smith and his lovely niece, Dru, are curiously resentful. It's only when Pike's feelings for the woman deepen that he and his partner, Elvis Cole, discover that Dru and her uncle are not at all who they seem, and everything Pike has learned about them is a lie. But it's much more than a deception. It's a trap. And with every new twist it's proving to be a killer.","3,8",12,Fiction
007,9780316154703,Life,Keith Richards,2010,564,en,"The lead guitarist for The Rolling Stones offers a no-holds-barred account of his life, from a youth obsessed with Chuck Berry to his formation of the Stones and their subsequent stardom, in a book where the author frankly discusses his problems with drugs, his relationships, his estrangement from Mick Jagger, bandmate Brian Jones' death and more. 1.5 million first printing. $500,000 ad/promo.","3,4",920,Biography & Autobiography
008,9781439189757,Decoded,Jay-Z,2010,337,en,"Decoded is a book like no other: a collection of lyrics and their meanings that together tell the story of a culture, an art form, a moment in history, and one of the most provocative and successful artists of our time. Praise for Decoded “Compelling . . . provocative, evocative . . . Part autobiography, part lavishly illustrated commentary on the author’s own work, Decoded gives the reader a harrowing portrait of the rough worlds Jay-Z navigated in his youth, while at the same time deconstructing his lyrics.”—Michiko Kakutani, The New York Times “One of a handful of books that just about any hip hop fan should own.”—The New Yorker “Elegantly designed, incisively written . . . an impressive leap by a man who has never been known for small steps.”—Los Angeles Times “A riveting exploration of Jay-Z’s journey . . . So thoroughly engrossing, it reads like a good piece of cultural journalism.”—The Boston Globe “Shawn Carter’s most honest airing of the experiences he drew on to create the mythic figure of Jay-Z . . . The scenes he recounts along the way are fascinating.”—Entertainment Weekly “Hip-hop’s renaissance man drops a classic. . . . Heartfelt, passionate and slick.”—Kirkus Reviews (starred review)","1,4",365,Biography & Autobiography
009,9780316327930,What the Dog Saw,Malcolm Gladwell,2010,350,en,"Malcolm Gladwell focuses on ""minor geniuses"" and idiosyncratic behavior to illuminate the ways all of us organize experience in this ""delightful"" (Bloomberg News) collection of writings from The New Yorker. What is the difference between choking and panicking? Why are there dozens of varieties of mustard-but only one variety of ketchup? What do football players teach us about how to hire teachers? What does hair dye tell us about the history of the 20th century? In the past decade, Malcolm Gladwell has written three books that have radically changed how we understand our world and ourselves: The Tipping Point; Blink; and Outliers. Now, in What the Dog Saw, he brings together, for the first time, the best of his writing from The New Yorker over the same period. Here is the bittersweet tale of the inventor of the birth control pill, and the dazzling inventions of the pasta sauce pioneer Howard Moscowitz. Gladwell sits with Ron Popeil, the king of the American kitchen, as he sells rotisserie ovens, and divines the secrets of Cesar Millan, the ""dog whisperer"" who can calm savage animals with the touch of his hand. He explores intelligence tests and ethnic profiling and ""hindsight bias"" and why it was that everyone in Silicon Valley once tripped over themselves to hire the same college graduate. ""Good writing,"" Gladwell says in his preface, ""does not succeed or fail on the strength of its ability to persuade. It succeeds or fails on the strength of its ability to engage you, to make you think, to give you a glimpse into someone else's head."" What the Dog Saw is yet another example of the buoyant spirit and unflagging curiosity that have made Malcolm Gladwell our most brilliant investigator of the hidden extraordinary.","4,8",788,Business & Economics
010,9780316322409,The Host,Stephenie Meyer,2008,539,en,"A member of a species that takes over the minds of human bodies, Wanderer is unable to disregard his host's love for a man in hiding, a situation that forces both possessor and host to become unwilling allies.",1,704,Fiction
